longtitude,latitude,nazev,vykon,datum,datum2
15.4596298683849,49.6459105788412,"FVE DOTEX 582 91 Nová Ves u Světlé, Nová Ves u Světlé 69, okres Havlíčkův Brod, kraj Vysočina",0.094,2002-02-13,2019-11-30
15.0775747177141,49.2936644509843,"FVE, Zdeněk Velíšek 394 70 Kamenice nad Lipou, Masarykova 350, okres Pelhřimov, kraj Vysočina",0.029,2002-03-07,2019-11-30
15.7549782563097,50.4430062677252,"FVE - RD Bílá Třemešná 544 01 Bílá Třemešná, Bílá Třemešná 399, okres Trutnov, kraj Královéhradecký",0.009,2002-02-12,2019-11-30
13.3202969051116,49.4198338478732,"FVE Točník 11 339 01 Klatovy, Klatovy 11, okres Klatovy, kraj Plzeňský",0.015,2002-03-15,2019-11-30
13.3202969051116,49.4198338478732,"Točník č.p.11 339 01 Klatovy, Klatovy 11, okres Klatovy, kraj Plzeňský",0.006,2002-03-15,2019-11-30
16.4738552441923,50.152277615489,"FVE - Jiří Michl 517 61 Rokytnice v Orlických horách, Rokytnice v Orlických horách 293, okres Rychnov nad Kněžnou, kraj Královéhradecký",0.015,2002-03-12,2019-11-30
15.5959505596992,49.5947736225711,"FVE U Traplů 580 01 Havlíčkův Brod, U Traplů 3532, okres Havlíčkův Brod, kraj Vysočina",0.03,2002-01-24,2019-11-30
18.3722113732237,49.7350371371284,"Fotolotaická elektrárna o výkonu 4,94 kWp 739 36 Bruzovice, Bruzovice 258, okres Frýdek-Místek, kraj Moravskoslezský",0.005,2002-03-13,2019-11-30
16.921359502493,49.9270985765827,"FVE Bludov, 8. května 789 61 Bludov, 8. května, okres Šumperk, kraj Olomoucký",0.03,2002-02-19,2019-11-30
16.9212186212828,49.9269559841834,"FVE II Bludov, 8. května 789 61 Bludov, 8. května, okres Šumperk, kraj Olomoucký",0.021,2002-02-19,2019-11-30
17.4663543958146,49.9967167614026,"FVE Albrecht 792 01 Bruntál, Větrná 1811/22, okres Bruntál, kraj Moravskoslezský",0.005,2002-03-26,2019-11-30
15.8126081249663,49.9125269249408,"Solární elektrárna Škrovád 123 538 21 Slatiňany, Slatiňany 123, okres Chrudim, kraj Pardubický",0.01,2002-03-13,2019-11-30
